"code","name","credit","lecture_hours","tutorial_hours","pratical_hours","discussion_hours","project_hours","pre_requisits","syllabus","ref_books","percent_course_attendance","percent_endsem","percent_midsem","percent_project","percent_quiz_1","percent_quiz_2","percent_lab_evaluation"
"EC204","Signals and Systems",4,3,0,0,0,0,"NIL","Module1: Classification of Signals & Systems
Continuous and discrete time signals: Classification of Signals: Periodic aperiodic, even / odd, 
energy and power signals, Deterministic and random signals, complex exponential and sinusoidal 
signals, periodicity: properties of discrete time complex exponential unit impulse - unit step impulse 
functions, Transformation in independent variable of signals: time scaling, time shifting. Systems: 
Definition, Classification: linear and nonlinear, time variant and invariant, causal and non-causal, 
static and dynamic, stable and unstable, invertible. [9H]
Module2: Linear Time Invariant (LTI) Systems 
Time-Domain representation & Characterization of LTI systems, Impulse response representation, 
Convolution integral & Convolution sum, properties of LTI systems, Stability criteria for LTI 
systems, Elements of Continuous time & Discrete-time LTI systems.Classification of LTI system: 
FIR and IIR, Recursive & nonrecursive system, LTI-DT systems -Characterization using difference 
equation, modelling of difference equation: AR System, MA system & ARMA system, 
implementation of LTI system: Direct form-I, Correlation, properties and classification of 
correlation, input/output relation of LTI system in term correlation. [9H]
Module3: Frequency Analysis of Signals and Systems 
Fourier representation of Signals, Continuous -time Fourier series and their properties, Application 
of Fourier series to LTI systems, Fourier Transform & its properties, Applications of Fourier 
Transform to LTI systems, Discrete-time Fourier Transform & its properties. Circular Convolution, 
Relationship to other transforms. [9H]
Module 4: Laplace Transform
Introduction & Definition, Region-of- convergence, Properties of Laplace transform, Inverse 
Laplace Transform, Applications of Laplace Transform in analysis of LTI systems, Unilateral 
Laplace Transform & its applications to solve differential equations, Analysis of Electric circuits.
 [7H]
Module 5: Z-Transform 
The Z-Transform, Region-of-convergence, properties of Z-Transform, Inverse Z-Transform, 
Transform Analysis of Discrete-time LTI systems, Unilateral Z-Transform & its applications to LTI 
systems described by difference equations. [8H]","1. Signals and Systems by Alan V. Oppenheim, Alan V. Willsky, S.Hamid Nawab, Prentice Hall
2. Linear Systems and Signals by B.P. Lathi, Oxford University Press 
3. Digital Signal Processing: A Computer Based Approach by S. K. Mitra Tata McGraw Hill, 
2006",10,40,20,10,5,5,10
"EC311L","Control systems + Communication",2,0,0,3,0,0,"NIL","A. Control System [18H]
1. Relay Control System
2. AC/DC Motor Driver
3. Process Control Simulator
4. Lead/Lag Network
5. AC/DC servo Control
6. Frequency Response Analysis
B. Communication [15H]
1. Study of AM, SSB-SC and DSB-SC modulation techniques.
2. Study of frequency modulation techniques and observe the spectrum in spectrum analyser.
3. Study the time division multiplexing techniques and observe time domain signal on CRO.
4. Study of frequency division multiplexing techniques and observe the frequency spectrum in 
spectrum analyser.
5. Study of PAM, PPM, and PWM techniques.","1. Digital Control and State Variable Methods by M Gopal, McGraw-Hill, 2003
2. Control Systems Engineering by I. J. Nagrath and M. Gopal, New age International, 2007
3. Lab Manuel: Communication lab 
4. Communication System, Haykin, S., Fourth Edition, Wiley and Sons, 2005.
5. Modern Digital and Analog Communication System, Lathi, B.P., Oxford University Press, 2006.",10,40,20,10,5,5,10
"EC5N04","Analog IC Design",4,30,0,20,0,0,"","syllabus","books",5,30,20,15,10,10,10
"EC5009","Nano Scale Integrated Computing",3,30,0,0,0,0,"","syllabus","book",5,30,20,15,10,10,10
"EC5010","Low power VLSI Design",3,30,0,0,0,0,"","syllabus","book",5,30,20,15,10,10,10
"CS8020","Next Generation Networks",3,30,0,0,0,0,"","syllabus","book",5,30,20,15,10,10,10
"CS8004","Deep Learning and Applications",3,30,0,0,0,0,"","syllabus","book",5,30,20,15,10,10,10
"CS204","Design & Analysis of  Algorithm",4,3,1,0,0,0,"NIL","Models of Computation: space and time complexity measures, lower and upper bounds; Search 
Trees: TRIE; B+ Trees, Binomial Trees; [10H]
Design techniques: the greedy method, divide-and-conquer, dynamic programming, backtracking, 
branch and bound; examples [10H]
Lower bound for sorting; Selection; [2H]
Graph Algorithms: connectivity, strong connectivity, bi-connectivity, topological sort, shortest 
paths, minimum spanning trees, The disjoint set union problem; [10H]
String matching; [2H]
NP-completeness; Introduction to approximate algorithms and Randomized algorithms. [8H]","1. T. H. Cormen, C E Leiserson, R L Rivest and C Stein, Introduction to Algorithms, MIT Press.
2. J. Kleinberg and E. Tardos, Algorithm Design, Addison Wesley",10,40,20,10,5,5,10
"CS310c","Coding Theory",2,2,0,0,0,0,"NIL","Review of basic concepts: probability including Bayesian analysis, Introduction to entropy and information 
content [6L]
Basics of coding theory: Finite fields, linear codes, generator and parity check matrices [6L]
General theory of data compressions: Overview of specific data compression techniques
Channel capacity theory, Shannon’s Noisy Channel Coding Theorem [10L]
Some Interesting Codes: Repetition Codes, Hamming Codes, Hadamard Codes Cyclic Codes, BCH Codes, 
Reed-Solomon Codes, The Golay Codes [10L]
Bounds on Codes: Krawtchouk Polynomials and the Linear Programming Bound, Asymptotic Bounds, 
Evaluation of different coding techniques in specific situations [10L]","1. van Lint, J. H. Introduction to coding theory, Third edition. Graduate Texts in Mathematics, SpringerVerlag, Berlin, 1999. 
2. Huffman, W. C. and Pless, V. Fundamentals of error-correcting codes. Cambridge University Press, 
Cambridge, 2003.
3. D. R. Hankerson, D. G. Hoffman, D. A. Leonard, C. C. Lindner, K. T. Phelps, C. A. Rodger , J. R. Wall, 
Coding theory and cryptography: The essentials, 2nd edition, New York: Marcel Dekker, 1991.",10,40,20,10,5,5,10
"EC205","Microprocessor and  Interfacing",4,2,0,0,0,0,"NIL","Introduction to Microprocessor: Microprocessor based design, design constraints, microprocessor 
selection, hardware implementation, software implementation, hardware debugging, software 
debugging. [6H] 
8085: Introduction to 4044, 8085, 8086 and other latest chips of Intel, Motorola microprocessors. 
8085 internal architecture, register structure, bus architecture, cycle timings to execute instruction, 
Introduction to Assembly language, basic instruction set, STACK and Memory Architecture, 
Implementation of Subroutines with CALL, Interrupt handling with ISR (Interrupt Subroutines)[8]
Interfacing of 8085: Handling of I/O ports and port programming using IN/OUT instruction, 
STACK handling and Signed Number Arithmetic, Interfacing instructions and control word 
strcuture for various pins like 8255, 8155, 8279,8259, etc. [8H]
8086: Differences between 8085 and 8086, 8086 internal architecture, introduction to 
programmable parallel ports and hand shake, input – output, DMA transfer interfacing and 
refreshing dynamic RAM, interfacing the 8086 with keyboard, alphanumeric displays, etc. [8H]","1. Microprocessor Architecture, Programming and Applications with the 8085, Ramesh Gaonkar, 
Penram International. 
2. 8086 Programming and Advanced Processor Architecture, M. T. Savaliya, Wiley. 
3. Microprocessor 8085 by Dr. Anil Swarnakar, PHI",10,40,20,10,5,5,10
"ME205","Engineering Materials",4,2,0,0,0,0,"NIL","Overview of Mechanical Behavior [4 H]
Introduction / Elastic Deformation / Permanent Deformation / Fracture / Summary
Elastic Behavior [6 H]
Introduction / Range of Elastic Moduli / Additional Elastic Properties / Basis for Linear Elasticity / 
Anisotropic Linear Elasticity / Rubber Elasticity / Polymer Elasticity and Viscoelasticity / 
Mechanical Damping / Summary
Strengthening of Crystalline Materials [6 H]
Introduction / General Description of Strengthening / Work Hardening / Boundary Strengthening / 
Solid-Solution Strengthening / Particle Hardening / Strain-Gradient Hardening / Deformation of 
Two-Phase Aggregates / Strength, Microstructure, and Processing: Case Studies / Summary
High-Temperature Deformation of Crystalline Materials [6 H]
Introduction / Phenomenological Description of Creep / Creep Mechanisms / Deformation 
Mechanism Maps / Materials Aspects of Creep Design / Engineering Estimates of Creep Behavior / 
Superplasticity / Hot Working of Metals / Summary
Deformation of Noncrystalline Materials [3 H]
Introduction/Crystalline versus Noncrystalline Structures / Viscosity / Deformation Behavior of 
Inorganic Glasses/Deformation of Metallic Glasses/Deformation of Polymeric Materials / Summary
Cellular Solids [3 H]
Introduction / The Geometries and Densities of Cellular Solids / Compressive Behavior of Cellular
Solids / Energy Absorption in Cellular Solids / Sandwich Panels / Summary","1. Mechanical Behavior of Materials, Second Edition by Thomas H. Courtney
2. Norman E. Dowling "" Mechanical Behavior of Materials: Engineering Methods for 
Deformation, Fracture, and Fatigue"" 
3. Callister, “Materials Science and Engineering” John Wiley & Sons Inc",10,40,20,10,5,5,10
"HS303a","Soft Skills and use of  English Language",4,3,0,2,1,0,"NIL","Personality Development and Soft Skills 
1. Personality Development and Career Growth. [3H]
- Why EQ matters more than IQ
2. Soft Skills – A Dire Need [5L]
- Development of Qualities
3. Body Language [5L]
- A learning or Training?
4. Master Mind Technique [7L]
- Definite chief Aim 
- First- checking Self
- Art of Co-operation
- Walking an extra mile
- Limitations – a dead end
Use of English and Soft Skills 
1. Communication Skills [5L]
- Matter
- Phonetics (English LAB)
- Structure (Grammar)
2. Functional Dynamics of Language [6L]
- Improving Presentations (Presentation Assignments)
3. Proper Writing Skills [5L]
- Systematic Errors (Writing Assignments)
4. The Remedial Language [4L]
- Removing errors Specific to Indians (Writing Assignments)","Reference
- Personality Development and Soft Skills - Barun K. Mitra
-Communication Skills and Personality Development - Dr. Seema Biji, Margaret Singh Punj
-Managing Soft Skills for Personality Development- B.N. Ghosh
-The Laws of Success- Napoleon Hill",10,40,20,10,5,5,10
"EC307","Fundamental of Electromagnetic Theory",4,3,0,0,0,0,"NIL","EMWAVES: Review of vector and coordinate systems, review Electrostatic and Magneto-statics, 
Maxwell’s equations for static and time varying fields, Boundary conditions, Propagation of uniform plane 
waves in perfect dielectric and lossy medium, Wave velocity and impedance, Reflection and refraction.
 [10H]
Transmission Lines: Introduction of Transmission lines, Transmission line parameters and equations, 
Solution for lossless lines, Reflection and Transmission coefficients at junctions, VSWR, Introduction to 
Smith Chart. [10H]
Waveguides: Introduction of Waveguides, Waveguides Modes, Solution of Wave Equations in Rectangular 
and Cylindrical waveguides for TM and TE, Wave propagation in Waveguide, Power Transmission and 
losses. [12H]
Antenna and Radiation: Radiation fundamentals, the half-wave dipole antenna. Antenna performance 
parameters, two element array, linear arrays, multiplication of patterns, antennas for various applications, 
Propagation of radio waves (introduction).","[1] Electromagnetic Waves and Radiating Systems, E.C.Jordan and K.G.Balmain, PHI.
[2] Elements of Electromagnetics, Mathew N.O.Sadiku, Oxford University Press.
[3] Theory and Problems of Electromagnetics by J.A. Administer",10,40,20,10,5,5,10
"ME307","Manufacturing  Technology",4,3,0,0,0,0,"NIL","Machining and Mechanics of Metal Cutting: [14 H]
Introduction to orthogonal & oblique cutting; Chip information mechanism; heat generation and cutting tool 
temperature, tool geometry – ASA, ORS, NRS and relationships, selection of tool angles. Cutting tool 
material; tool wear; tool life and machinability; surface finish; cutting fluids. Merchant’s circle diagram, 
coefficient of friction, stress, strain and strain rate, shear angle. Leee and Shaffer’s Relationship: Friction in 
Metal cutting-sticking & sliding.
Material Removal Processes: [8 H]
Basic operations of turning, shaping, slotting and planning, drilling and boring, milling.Introduction multipoint cutting tools; twist drill, helical milling cutter. Practical machining operations with machining 
parameters, force magnituds, power consumption, material removal rate, time per pass.
Cutting Force Measurement: [2 H]
Basic methods of measurement, axially loaded members, cantilever beam, rings and octagon, dynamometer 
requirements machine tool dynamometers.
Economics of Machining: [4 H]
Cutting parameters for minimum production cost criteria; maximum production and profit rate criterion. 
Restrictions on cutting conditions (power, speed, force and vibration, surface finish).
Metal Forming: [10 H]
Plasticity: Introduction to stress, strain, stress-strain relationships, Mechanics of Forming Processes: 
Rolling, Forging, Drawing, Deep Drawing Extrusion, Punching and Blanking.
Casting: [4 H]
Design of riser, runner and gating system, mechanism and analysis of solidification.","1. M.C. Shaw, Metal Cutting Principles, 2nd Edition Oxford University Press, England 2005.
2. A. Ghosh and A.K. Malik, Manufacturing Science. Affilated East West press 1985.
3. Mikel P. Groover, “Fundamentals of Modern Manufacturing”, John Wiley & Sons inc.",10,40,20,10,5,5,10
"CS307","Computer Network",4,3,0,0,0,0,"NIL"," Introduction: History and Development of Computer Networks, Review of Data communication
concepts and techniques, Networks Topologies, Network model components, layered network models
(OSI reference model, TCP/IP networking architecture) [10H]
 Data Link and MAC sublayer: 
• Preliminaries of Error Control, Flow Control and Sliding Window Protocols.
• Aloha Protocols, CSMA Protocols, Collision Free Protocols, Local Area Networks -- Ethernet, 
Wireless LAN, Broadband Wireless. [10H]
 Network Layer: Routing Algorithms, Subnets, Congestion Control Algorithms, Internetworking --
Bridges and Routers. [10H]
 Transport Layer: Connection Establishment, and release, TCP, UDP, Flow Control and Congestion 
Control, Quality of Services. [10H]
Application Layer Potocols and Introduction to Network Security. [2H]","[1] Andrew S. Tanenbaum, David J. Wetherall , Computer Networks, 5th Edition, Pearson Publications, 
2010.
[2] W. Stallings, Data and Computer Communication, 10th Edition, Pearson Publication, 2013.
[3] B. A. Forouzan, Data Communications and Networking, 5th Edition, McGraw Hill Publication, 2012.
[4] B. S. Davie and L. L. Peterson, Computer Networks: A Systems Approach, 5th Edition, Morgan 
Kaufmann Publication, 2011.",10,40,20,10,5,5,10
"ME8001","Research Methodology",3,30,0,0,0,0,"","syllabus","book",5,30,20,15,10,10,10
"ME8011","Mechanic of composite materials and Applications",3,30,0,0,0,0,"","syllabus","book",5,30,20,15,10,10,10
"ME8019","Robotics and Intelligent Systems",3,0,0,0,0,0,"","syllabus","book",5,30,20,15,10,10,10
"ME308","Fluid Mechanic",4,3,1,0,0,0,"NIL","1.Fundamental concepts: Continuum models, characteristics of fluids. [1 H]
2.Fluid Statics: Hydrostatic pressure, forces on submerged surfaces, pressure measurement. [6 H]
3.Integral Analysis: Fundamental laws, systems and control volumes, Reynold’s Transport Theorem, 
conservation of mass, momentum and energy equation, Applications to various fluidic systems. [12 H]
4. Differential Analysis of fluid flow: Flow Kinematics, Types of flow, Flow field, velocity, acceleration, 
stream function, vorticity. Incompressible- inviscid flow, Euler's and Bernoulli's equation. [10 H]
5. Dimensional analysis and similitude, dimensionless numbers, kinematic and dynamic similarity. [3 H]
6.Flow in conduits and pipes – Incompressible viscous flow, fully developed flow in pipes, velocity 
distribution, laminar and turbulent flow, head loss, major and minor losses, Flow measurement, pipeline 
networks, bends, fittings, series and parallel pipes. [8 H]
7. Boundary layers and flow over objects, separation, lift and drag, applications for flat plate like objects. 
 [5 H]
8. Introduction to Compressible Flow - speed of sound, stagnation properties. Steady state-onedimensional compressible flow - basic equations for isentropic flow, adiabatic flow with friction. [3 H]","[1] Fluid Mechanics by Frank M. White (MGH)
[2] Introduction to Fluid Mechanics by Fox and McDonald (Wiley",10,40,20,10,5,5,10
"CS308","Operating System",4,3,1,0,0,0,"NIL","Operating systems for mainframe and desktops: A Historical Overview, Batch OS, Multiprogramming OS, 
Time sharing OS, Multiprocessor and Distributed systems, Clustered systems, Real Time Systems. [2H]
Operating system structure: OS services, system calls, System programs, System structure, Virtual 
machines. [4H]
Process Management: Process concept, Process scheduling, Operations on processes,
Threads. [3H]
CPU Scheduling: Scheduling Criteria, Scheduling algorithms, Multiprocessor scheduling, Real time 
scheduling, Thread scheduling. [4H]
Inter process communication: Cooperating processes, The Critical Section problem, Two tasks solutions, 
Semaphores, Classical synchronization. [4H]
Deadlocks: Characterization, Methods for handling deadlocks, Prevention, avoidance and detection, 
Recovery. [3H]
Memory management: Background, swapping, Contiguous memory allocation, Paging and segmentation, 
Virtual memory, Demand paging, Page replacement, thrashing. [10H]
File system management: File concept, Access method, Directory structure, File System mounting, File 
sharing, Allocation methods, Protection. [4H]
Mass storage structure and management: Disk structure, Disk scheduling and Management, Swap space 
management, RAID structure. [4H]
Protection and Security: Goals, Domain of protection, Access matrix, Capability based systems, Security 
problems, User authentication, Program threats and system threats [4H]","1. A. Silberschatz, B. P. Galvin, G. Gagne, Operating System, 6th Edition, John Wiley & Sons Inc., 2004
2. W. Stalling, Operating System, 6th edition, Pearson Education, 2009",10,40,20,10,5,5,10
"PC3003","Professional Development Course 3",1,1,0,0,0,0,"-","-","-",5,30,20,15,10,10,10
"OE4M70","Advanced Mechanics of Solids",3,3,0,0,NULL,NULL,NULL,"-","-",5,30,20,15,10,10,10
"EC8002","Advanced Engineering Electromagnetics",3,3,0,0,NULL,NULL,NULL,"-","-",5,30,20,15,10,10,10
"EC8029","Advanced Digital Filter Design",3,3,0,0,NULL,NULL,NULL,"-","-",5,30,20,15,10,10,10
"OE4E71","Satelite communication",3,3,0,0,NULL,NULL,NULL,"-","-",5,30,20,15,10,10,10
"OE3M18","Maintenance and Reliability",3,20,0,0,0,0,"","syllabus","books",5,30,20,15,10,10,10
"IT3C03","Web and mobile App development",2,0,0,30,0,0,"","Syllabus","syllabus",5,30,20,15,10,10,10
"EC309","Principle of Communication",4,3,0,0,0,0,"NIL","Introduction to Communication Systems:
Communication network and channel, Difference between Analog and Digital type of signal and 
Communication, Classification of Signals and systems, Fourier series, Fourier transform and its Properties 
and examples, Impulse Response, and Transfer Function. [5H]
Amplitude modulation (Linear modulation): 
Modulation, Amplitude Modulation, and Double Sideband Modulation. Single-Sideband and VestigialSideband Modulations. Implementation of AM Modulators and demodulators. [8H]
Angle Modulation: 
Basic definition, Phase modulation, frequency modulation, relationship between frequency and phase 
modulation, bandwidth of FM signal, Narrowband and wideband frequency modulation, Transmission 
bandwidth of FM signal, Generation and detection of angle modulation. [8H]
Effect of Noise on Amplitude Modulation System: 
Effect of noise on linear modulation systems (Base-band systems, DSB-SC AM, SSB AM, 
Conventional AM). [7H]
Effect of Noise on Angle Modulation System: 
Noise in frequency modulation systems, threshold effect in FM system performance, threshold 
improvement in FM Discriminators, Noise in phase-modulated system, comparison of analog modulation 
system. [7H]
Pulse Modulation: 
Sampling of band-limited signals and band pass signals, quantization, PCM system, Analog pulse 
modulation. [7H]","1. Communication System, Haykin, S., Fourth Edition, Wiley and Sons, 2005.
2. Modern Digital and Analog Communication System, Lathi, B.P., Oxford University Press.
3. Communication System Engineering, John G. Proakis and Masoud Salehi, Prentice Hall,2006.",10,40,20,10,5,5,10
"ES406e","Computer Graphics",4,3,0,0,0,0,"NIL","Conceptual Framework of an Interactive Graphical Simulation System, Graphics Architectures, The 
fundamentals of input, display, and hardcopy devices, Graphical User Interfaces, Interactive input 
methods. 
Scan conversion of basic geometric primitives, Filled area primitives, Character generation, Attributes of 
output primitives, Antialiasing techniques, Introduction to OpenGL, Basic object representation and 
rendering functions. 
2D and 3D Geometrical Transformations, Viewing Transformation, Window-to-Viewport 
transformation, 2D line and polygon clipping. 
Three dimensional display methods and object representation, Basic modelling concepts through curves 
and surfaces. 
Visual realism, Illumination models, Shading models, Color models, Texture generation and object 
rendering, Visible Surface Determination.","Text Book:
D. Hearn, and M. P. Baker, Computer Graphics with OpenGL, 4th Edition, PHI, 2006.
Reference Books:
1. F.S. Hill Jr., Computer Graphics Using OpenGL, Second Edition, PHI, 2005. 
2. J. Foley, A. Van Dam, S.K. Feiner, J.F. Hughes, Computer Graphics, Principles and Practice, Pearson 
Education, 2002. 
3. R.S.Wright and M. Sweet, OpenGL Super Bible, Pearson Education, 2016.
4. E. Angel, OpenGL: A Primer, Third Edition, Pearson Addison Wesley, 2008.",10,40,20,10,5,5,10
"CS309","Language Theory",4,3,0,0,0,0,"NIL","Introduction of Automata, Computability, and Complexity; Mathematical notations and terminology; 
Finding proofs and types of proofs. [4H]
Finite Automata and regular languages: Formal definitions, Designing finite automata, Deterministic 
finite automata, Non-deterministic finite automata, Equivalence of NFAs and DFAs, finite automata 
with epsilon-transition; regular expressions and languages, Properties of Regular languages, conversion 
of RE to FA and vice versa. Pumping Lemma. [10H]
Push down Automata and Context free languages: Context free grammars, Designing context free 
grammar, Ambiguity in CFG and its removal, Chomsky normal form. Push down Automata: formal 
definition, graphical notations, Languages accepted by PDA, Equivalence of PDA and CFG, Noncontext free languages, Pumping Lemma for CFGs. [10H]
Turing Machines and Computability: Formal definition of Turing machines with examples, Variants of 
Turing machines, [6H]
Decidability, un-decidability and reducibility: Decidable languages; Decidable problems concerning 
regular languages and context free languages, The halting problem, Post correspondence problems, 
Undecidable problems. [8H]
Computational Complexity & NP-Completeness: The class P, The class NP, Reductions, The class NPComplete, Dealing with NP-Completeness","1. J. H. Hopcroft, R, Motwani, J. D. Ullman, Introduction to Automata Theory, Languages, and 
Computation, Third Edition, Pearson Education Inc., New Delhi 
2. M. Sipser, Introduction to the Theory of Computation, Third Edition, Cengage Learning India Pvt. Ltd.",10,40,20,10,5,5,10
"EC310a","Computer Networks",2,2,0,0,0,0,"NIL"," Introduction: History and Development of Computer Networks, Review of Data communication
concepts and techniques, Networks Topologies, Network model components, layered network models
(OSI reference model, TCP/IP networking architecture) [10H]
 Data Link and MAC sublayer: [10H]
• Preliminaries of Error Control, Flow Control and Sliding Window Protocols.
• Aloha Protocols, CSMA Protocols, Collision Free Protocols, Local Area Networks -- Ethernet, 
Wireless LAN, Broadband Wireless. 
 Network Layer: Routing Algorithms, Subnets, Congestion Control Algorithms, Internetworking --
Bridges and Routers. [10H]
 Transport Layer: Connection Establishment, and release, TCP, UDP, Flow Control and Congestion 
Control, Quality of Services. [10H]
Application Layer Potocols and Introduction to Network Security. [2H]","1. Andrew S. Tanenbaum, David J. Wetherall , Computer Networks, 5th Edition, Pearson Publications, 
2010.
2. W. Stallings, Data and Computer Communication, 10th Edition, Pearson Publication, 2013.
3. B. A. Forouzan, Data Communications and Networking, 5th Edition, McGraw Hill Publication, 2012.
4. B. S. Davie and L. L. Peterson, Computer Networks: A Systems Approach, 5th Edition, Morgan 
Kaufmann Publication, 2011.",10,40,20,10,5,5,10
"CS310a","Soft Computing",2,2,0,0,0,0,"NIL","Introduction to Computing: Evolution of Computing, Basics of Soft Computing. Conventional AI and 
Computational Intelligence, Machine Learning Basics. [8H]
Neural Networks: Introduction to neural networks, Neural network architecture, Learning methods, 
Architecture of a back propagation network, Applications. [8H]
Fuzzy Logic: Crisp and Fuzzy sets, membership functions, Basic operations on fuzzy sets, Properties of 
fuzzy sets, Fuzzy relations, Propositional and predicate logic, fuzzy mapping rules and implications, 
Applications. [8H]
Nature Inspired Algorithms: Introduction, Genetic algorithms, Differential evolution, Particle swarm 
optimization, Cuckoo search. [12H]
 Hybrid Systems: Integration of neural networks, fuzzy logic and genetic algorithms. [6H]","1. N.P. Padhy and S.P. Simon, Soft Computing: With Matlab Programming, Oxford University Press, 
2015.
2. K.H.Lee, First Course on Fuzzy Theory and Applications, Springer-Verlag, 2004. 
3. D. E. Goldberg, Genetic Algorithms: Search, Optimization and Machine Learning , Addison 
Wesley, 1989.
4. S. Rajasekaran and G.A.Vijaylakshmi Pai, Neural Networks Fuzzy Logic, and Genetic Algorithms, 
Prentice Hall of India, 2003. 
5. J.S.R. Jang, C.T. Sun and E. Mizutani, Neuro-Fuzzy and Soft Computing, Prentice Hall of India, 
2004.",10,40,20,10,5,5,10
"IT3E03","Cadence, Silvaco, Xylink,Sentaurus Tcad",2,0,0,30,0,0,"","syllabus","books",5,30,20,15,10,10,10
"DS3014","Fabrication Project",4,0,0,25,0,0,"","syllabus","books",5,30,20,15,10,10,10
"EC310c","Intelligent Control",2,2,0,0,0,0,"NIL","Biological foundations to intelligent systems I: Artificial neural networks, Back-propagation networks, 
Radial basis function networks, and recurrent networks. [6H]
Biological foundations to intelligent systems II: Fuzzy logic, knowledge representation and inference 
mechanism, genetic algorithm, and fuzzy neural networks. [6H]
Fuzzy and expert control (standard, Takagi-Sugeno, mathematical characterizations, design example), 
Parametric optimization of fuzzy logic controller using genetic algorithm. [6H]
System identification using neural and fuzzy neural networks. [5H]
Stability analysis: Lyapunov stability theory and Passivity Theory. [5H]","1. Stanislaw H. Zak, Systems and Control, Oxford University Press, 2003 
2. A.S. Poznyak, E. N. Sanchez and Wen Yu, Differential Neural Networks for Robust Nonlinear 
Control, World Scientific, 2001. 
3. Kevin M. Passino and Stephen Yurkovich, Fuzzy Control, Addison Wesley Longman, Menlo Park, 
 CA, 1998",10,40,20,10,5,5,10
"ME310b","Steam Generators",2,2,0,0,0,0,"NIL","Description of Main Boiler: 
Classification and Types of Steam Generators, Fundamentals of Boilers design. Constructional details 
including steam water circuit of high pressure and high capacity water tube boilers, Economizers, Superheaters, De-Superheater, Re-heaters. [8H]
Boiler Circulation Theory: 
Boiler Drum & its Internals, Boiler Mountings, Feed water treatment. [4H]
Air Pre-heater: 
Types and functions, Constructional details, SCAPH, Soot Blower. [4H]
Draft System: 
Theory of Natural, Induced, Forced and Balance Draft, Constructional details /Lubricating Oil System for 
PA Fan, FD Fan, ID Fan, Layout etc. [4H]
Electrostatic Precipitator: 
Basic working principle and constructional details of Electrostatic Precipitator, Corona effect, Rapping 
Mechanism. [4H]
Ash handling system: 
Bottom ash, Fly ash, System Layout, equipment description, Ash disposal and utilization. [4H]","1. P. K. Nag, “Power Plant Engineering”, Tata McGraw Hill Publication 
2. ‘Modern Power Station Practice”, Volume B, British Electricity International Ltd., Central Electricity 
Generating Board, Pergamon Press, Oxford, 1991. 
3. “Steam Generator and its Auxiliaries”, Manufacturer’s Power Plant Manual.
4. Power Plant Familiarisation – Vol. II, NPTI Publication",10,40,20,10,5,5,10
"ME310c","Gas Dynamics",2,2,0,0,0,0,"NIL","Introduction:
Governing equations of compressible flow. [2H]
1 D Flow: 
Introduction - Normal Shock Relations - Hugoniot Equations. [4H]
Oblique Shocks: 
Supersonic flow over wedges and cones - Interaction of shocks of opposite families - Intersection of shocks 
of same family. [6H]
3D Shock Waves: 
Prandtl-Meyer Expansion waves - Shock expansion theory - Crocco's Theorem. [6H]
Linearized Flow:
Linearized velocity potential equation - Linearized pressure coefficient - Linearized Subsonic flow -
Improved compressibility corrections - Linearized supersonic flow - Critical Mach Number. [4H]
Unsteady wave motion: 
Moving normal shock wave - Reflected shock waves - Incident and reflected expansion waves - Shock tube 
relations - Finite compression waves. [6H]","1. H. W. Liepmann and A. Roshko, Elements of Gas Dynamics
2. John D. Anderson, Jr., Modern Compressible Flow: With Historical Perspective, Third Edition,",10,40,20,10,5,5,10
"ME311L","FM&ST",2,0,0,3,0,0,"NIL","[1] To determine Coriolli's Component of Acceleration at various speeds of rotation.
[2] To calculate the Coefficient of Discharge Cd, Coefficient of Velocity Cv, and Coefficient of 
Contraction Cc for various heads over orifice fitted in the side of a tank. And to draw a relationship 
between these coefficients and the size of the orifice
[3] To compute Piezo-metric head and draw Hydraulic Gradient Line for the given flow passage
[4] To determine friction factor for the given pipes and also plot friction factor vs Reynold’s number 
for all the pipes and compare it with the Moody’s chart.
[5] To calculate the coefficient of discharge for the given Venturimeter and Orificemeter.
[6] To study journal bearing test rig system. Perform the pressure profile of lubricating oil at various 
conditions of load and speed and the frictional torque & power transmitted.
[7] To study the heat transfer phenomena in Parallel/ Counter flow arrangements.
[8] To the obtain performance characteristics of a centrifugal pump.
[9] To determine head loss coefficient for the given bend in pipes and To determine Bernoullis 
Theorem.
[10] To the obtain performance characteristics of a Francis turbine and determine its specific speed.
[11] To conduct load test on diesel engine. (a). Determine the Willien's line by graphical and regression 
method.; (b) To find out brake power, brake and indicated thermal efficiency, mechanical efficiency, 
bsfc, isfc, IMEP. BMEP, Air fuel ratio, specific brake output, mean piston speed, clearance volume 
and (c) Plot-Load v/s above parameter
[12] To determine COP for a given refrigeration system.","1. Rattan S.S., .Theory of Machines., TMH
2. Thomas Bevan, .Theory of Machines., CBS
3. Theory of Mechanisms & Machines by Ghosh & Mallick, EWP
4. John J. Uicker, Jr., Gordon R. Pennock and Joseph E. Sigley (2005), “Theory of Machines and 
Mechanisms (3rd Ed),” Oxford University Press, Indian Edition.
5. K J Waldron and G L Kinzel (2004), “Kinematics, Dynamics and Design of Machinery (2nd Ed),” 
Wiley.",10,40,20,10,5,5,10
